#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,Year,YearDate
893,Roel Ramirez,STL,12.5%,50.0%,28.6%,0.0%,100.0%,75.0%,42.9%,50.0%,7.1%,14.3%,21.4%,2021.0,2021-01-01
894,Brody Koerner,NYY,11.4%,70.6%,30.8%,75.0%,100.0%,93.8%,32.7%,38.5%,1.9%,15.4%,17.3%,2021.0,2021-01-01
895,Christian Arroyo,BOS,11.1%,71.4%,37.5%,100.0%,100.0%,100.0%,43.8%,40.0%,0.0%,18.8%,18.8%,2021.0,2021-01-01
896,Jonathan Stiever,CHW,11.1%,66.7%,33.3%,100.0%,75.0%,80.0%,40.0%,50.0%,6.7%,13.3%,20.0%,2021.0,2021-01-01
897,Bryan Holaday,ARI,10.0%,66.7%,31.3%,100.0%,100.0%,100.0%,37.5%,60.0%,0.0%,18.8%,18.8%,2021.0,2021-01-01
898,Luis Guillorme,NYM,10.0%,83.3%,37.5%,100.0%,100.0%,100.0%,37.5%,71.4%,0.0%,18.8%,18.8%,2021.0,2021-01-01
899,Bernardo Flores Jr.,STL,10.0%,50.0%,16.7%,100.0%,100.0%,100.0%,16.7%,33.3%,0.0%,8.3%,8.3%,2021.0,2021-01-01
900,Harold Castro,DET,9.5%,72.7%,31.3%,100.0%,100.0%,100.0%,34.4%,45.5%,0.0%,12.5%,12.5%,2021.0,2021-01-01
901,Stephen Tarpley,NYM,8.3%,33.3%,13.3%,0.0%,100.0%,50.0%,20.0%, ,6.7%,13.3%,20.0%,2021.0,2021-01-01
902,Anthony Rizzo,CHC,0.0%,50.0%,20.0%, ,66.7%,66.7%,40.0%, ,6.7%,26.7%,33.3%,2021.0,2021-01-01
903,Mike Freeman,CIN,0.0%,0.0%,0.0%, , , ,50.0%,100.0%,0.0%,75.0%,75.0%,2021.0,2021-01-01
904,Hanser Alberto,KCR,0.0%,100.0%,50.0%, ,100.0%,100.0%,50.0%, ,0.0%,0.0%,0.0%,2021.0,2021-01-01
905,Phillip Evans,PIT,0.0%,100.0%,80.0%, ,100.0%,100.0%,80.0%,66.7%,0.0%,0.0%,0.0%,2021.0,2021-01-01
906,Wyatt Mathisen,ARI,0.0%,100.0%,62.5%, ,100.0%,100.0%,62.5%,75.0%,0.0%,10.0%,10.0%,2021.0,2021-01-01
907,Joshua Fuentes,COL,0.0%,80.0%,44.4%, ,100.0%,100.0%,55.6%,50.0%,0.0%,22.2%,22.2%,2021.0,2021-01-01
908,Kaleb Ort,BOS,0.0%,83.3%,41.7%, ,80.0%,80.0%,50.0%,33.3%,8.3%,8.3%,16.7%,2021.0,2021-01-01
909,Damon Jones,PHI,0.0%,100.0%,27.3%, ,100.0%,100.0%,27.3%,75.0%,0.0%,0.0%,0.0%,2021.0,2021-01-01
1,Ildemaro Vargas,WSN,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,33.3%,100.0%,0.0%,0.0%,0.0%,2022.0,2022-01-01
2,Reese McGuire,BOS,66.7%,75.0%,71.4%,100.0%,100.0%,100.0%,57.1%,66.7%,0.0%,14.3%,14.3%,2022.0,2022-01-01
3,Jermaine Palacios,MIN,66.7%,100.0%,75.0%,50.0%,100.0%,66.7%,25.0%,33.3%,25.0%,0.0%,25.0%,2022.0,2022-01-01
4,Freddy Tarnok,ATL,60.0%,60.0%,60.0%,33.3%,33.3%,33.3%,50.0%,100.0%,40.0%,20.0%,60.0%,2022.0,2022-01-01
5,Randal Grichuk,COL,55.6%,0.0%,50.0%,80.0%, ,80.0%,10.0%,33.3%,10.0%,10.0%,20.0%,2022.0,2022-01-01
6,Frank Schwindel,CHC,53.3%,83.3%,61.9%,87.5%,90.0%,88.5%,28.6%,72.2%,7.1%,7.1%,14.3%,2022.0,2022-01-01
7,Brian Moran,LAA,50.0%,90.9%,68.0%,100.0%,60.0%,76.5%,44.0%,60.0%,16.0%,4.0%,20.0%,2022.0,2022-01-01
8,Darin Ruf,NYM,50.0%,66.7%,57.1%,100.0%,100.0%,100.0%,42.9%,85.7%,0.0%,14.3%,14.3%,2022.0,2022-01-01
9,Whit Merrifield,TOR,50.0%,100.0%,61.5%,80.0%,100.0%,87.5%,23.1%,66.7%,7.7%,23.1%,30.8%,2022.0,2022-01-01
10,Bowden Francis,TOR,50.0%,100.0%,77.8%,0.0%,100.0%,71.4%,55.6%,66.7%,22.2%,0.0%,22.2%,2022.0,2022-01-01
11,Emmanuel Clase,CLE,49.8%,74.8%,61.1%,61.8%,81.4%,72.6%,45.3%,64.6%,16.7%,13.7%,30.4%,2022.0,2022-01-01
12,Andrew Kittredge,TBR,48.3%,70.5%,56.7%,62.9%,91.9%,76.5%,37.8%,70.7%,13.3%,13.3%,26.6%,2022.0,2022-01-01
13,Alexander Wells,BAL,48.3%,64.9%,57.6%,78.6%,75.0%,76.3%,56.1%,75.0%,13.6%,18.2%,31.8%,2022.0,2022-01-01
14,Matt Batten,SDP,47.4%,71.4%,53.8%,88.9%,60.0%,78.6%,26.9%,75.0%,11.5%,15.4%,26.9%,2022.0,2022-01-01
15,Nick Mears,PIT,47.4%,91.7%,64.5%,55.6%,81.8%,70.0%,38.7%,75.0%,19.4%,3.2%,22.6%,2022.0,2022-01-01
16,Anthony Kay,TOR,46.4%,36.4%,43.6%,61.5%,100.0%,70.6%,28.2%,60.0%,12.8%,17.9%,30.8%,2022.0,2022-01-01
17,Kody Clemens,DET,46.4%,87.5%,61.4%,100.0%,100.0%,100.0%,36.4%,60.6%,0.0%,6.8%,6.8%,2022.0,2022-01-01
18,Tucker Barnhart,DET,45.5%,50.0%,47.1%,80.0%,100.0%,87.5%,35.3%,60.0%,5.9%,23.5%,29.4%,2022.0,2022-01-01
19,Sean Doolittle,WSN,44.8%,69.2%,56.4%,46.2%,77.8%,64.5%,47.3%,76.5%,20.0%,18.2%,38.2%,2022.0,2022-01-01
20,Dylan Lee,ATL,44.6%,72.8%,56.2%,53.3%,77.5%,66.3%,41.4%,60.7%,19.0%,12.6%,31.6%,2022.0,2022-01-01
21,Cesar Valdez,LAA,44.4%,100.0%,68.8%,100.0%,85.7%,90.9%,43.8%,60.0%,6.3%,0.0%,6.3%,2022.0,2022-01-01
22,Yolmer Sanchez,BOS,44.4%,100.0%,66.7%,100.0%,100.0%,100.0%,40.0%,83.3%,0.0%,0.0%,0.0%,2022.0,2022-01-01
23,Luke Barker,MIL,44.1%,75.0%,55.6%,73.3%,86.7%,80.0%,37.0%,63.2%,11.1%,16.7%,27.8%,2022.0,2022-01-01
24,Nick Maton,PHI,43.8%,55.6%,48.0%,100.0%,100.0%,100.0%,36.0%,75.0%,0.0%,24.0%,24.0%,2022.0,2022-01-01
25,Dominic Leone,SFG,43.6%,77.0%,55.1%,49.8%,84.4%,66.4%,34.3%,60.8%,18.5%,10.0%,28.6%,2022.0,2022-01-01
26,Thomas Hatch,TOR,43.6%,75.0%,57.7%,64.7%,100.0%,85.4%,45.1%,76.9%,8.5%,12.7%,21.1%,2022.0,2022-01-01
27,Harold Castro,DET,43.2%,69.2%,50.0%,93.8%,100.0%,96.0%,26.0%,66.7%,2.0%,18.0%,20.0%,2022.0,2022-01-01
28,Joe Mantiply,ARI,42.9%,64.0%,52.3%,59.7%,84.0%,72.9%,44.3%,63.0%,14.2%,18.5%,32.6%,2022.0,2022-01-01
29,Shane Greene,- - -,42.9%,66.7%,50.0%,73.3%,100.0%,84.0%,30.0%,76.9%,8.0%,12.0%,20.0%,2022.0,2022-01-01
30,Orlando Arcia,ATL,42.9%,100.0%,60.0%,100.0%,66.7%,83.3%,30.0%,75.0%,10.0%,0.0%,10.0%,2022.0,2022-01-01
31,Max Schrock,CIN,42.9%,91.7%,65.4%,100.0%,100.0%,100.0%,46.2%,70.0%,0.0%,3.8%,3.8%,2022.0,2022-01-01
32,Garrett Stubbs,PHI,42.9%,55.6%,46.7%,83.3%,100.0%,89.3%,30.0%,55.6%,5.0%,15.0%,20.0%,2022.0,2022-01-01
33,Kevin Gausman,TOR,42.7%,73.7%,55.7%,58.4%,83.1%,72.1%,41.9%,68.0%,15.5%,14.3%,29.8%,2022.0,2022-01-01
34,Andres Munoz,SEA,42.1%,73.0%,54.1%,47.0%,72.1%,60.1%,38.8%,68.1%,21.6%,14.1%,35.6%,2022.0,2022-01-01
35,Pete Fairbanks,TBR,42.1%,64.7%,51.7%,62.4%,71.1%,67.0%,42.6%,65.5%,17.0%,17.3%,34.4%,2022.0,2022-01-01
36,Casey Lawrence,TOR,42.0%,67.0%,51.2%,78.5%,94.5%,86.2%,36.7%,77.2%,7.1%,17.2%,24.2%,2022.0,2022-01-01
37,Luis Gil,NYY,42.0%,75.8%,55.4%,57.1%,72.0%,65.2%,39.8%,68.4%,19.3%,9.6%,28.9%,2022.0,2022-01-01
38,Edwin Diaz,NYM,41.9%,66.1%,51.6%,33.5%,69.9%,52.2%,40.1%,71.1%,24.7%,17.5%,42.1%,2022.0,2022-01-01
39,Cody Sedlock,BAL,41.7%,78.3%,53.5%,50.0%,88.9%,68.4%,32.4%,62.5%,16.9%,11.3%,28.2%,2022.0,2022-01-01
40,Victor Arano,WSN,41.4%,64.5%,49.9%,59.6%,85.6%,71.9%,36.6%,65.2%,14.0%,14.3%,28.3%,2022.0,2022-01-01
41,Jacob deGrom,NYM,41.2%,76.5%,54.5%,47.9%,73.3%,61.3%,37.6%,69.9%,21.1%,14.4%,35.4%,2022.0,2022-01-01
42,Brett Martin,TEX,41.1%,66.5%,50.4%,64.6%,90.7%,77.2%,36.7%,63.2%,11.5%,15.7%,27.2%,2022.0,2022-01-01
43,Zach Pop,- - -,40.9%,65.6%,50.9%,74.6%,92.3%,83.9%,40.7%,61.1%,8.2%,16.8%,25.0%,2022.0,2022-01-01
44,Raisel Iglesias,- - -,40.4%,68.1%,51.6%,50.8%,82.9%,67.9%,40.3%,60.6%,16.5%,16.0%,32.6%,2022.0,2022-01-01
45,Simeon Woods Richardson,MIN,40.4%,79.5%,57.1%,76.2%,87.1%,82.7%,42.9%,70.0%,9.9%,9.9%,19.8%,2022.0,2022-01-01
46,Darren O'Day,ATL,40.2%,71.9%,51.7%,68.7%,84.0%,76.4%,36.1%,63.8%,12.2%,13.8%,26.0%,2022.0,2022-01-01
47,Jhoan Duran,MIN,40.2%,73.4%,54.6%,48.1%,80.4%,66.9%,43.4%,63.5%,18.1%,14.5%,32.6%,2022.0,2022-01-01
48,Jonathan Loaisiga,NYY,40.2%,68.3%,50.5%,68.0%,85.3%,76.6%,36.5%,61.6%,11.8%,15.0%,26.8%,2022.0,2022-01-01
49,Alex Young,- - -,40.1%,68.3%,50.3%,53.5%,85.5%,69.2%,36.2%,62.1%,15.5%,13.7%,29.2%,2022.0,2022-01-01
50,Chris Owings,BAL,40.0%,80.0%,60.0%,100.0%,100.0%,100.0%,50.0%,80.0%,0.0%,20.0%,20.0%,2022.0,2022-01-01
51,Kevin Plawecki,BOS,40.0%,75.0%,55.6%,100.0%,100.0%,100.0%,44.4%,50.0%,0.0%,11.1%,11.1%,2022.0,2022-01-01
52,Rob Zastryzny,- - -,40.0%,77.8%,54.2%,72.2%,85.7%,79.5%,37.5%,43.8%,11.1%,11.1%,22.2%,2022.0,2022-01-01
53,A.J. Ladwig,MIA,40.0%,87.5%,58.5%,90.0%,92.9%,91.7%,39.0%,80.0%,4.9%,12.2%,17.1%,2022.0,2022-01-01
54,Andrew Knizner,STL,40.0%,83.3%,63.6%,100.0%,100.0%,100.0%,54.5%, ,0.0%,9.1%,9.1%,2022.0,2022-01-01
55,Yerry Rodriguez,TEX,40.0%,87.5%,61.1%,100.0%,85.7%,90.9%,44.4%,75.0%,5.6%,11.1%,16.7%,2022.0,2022-01-01
56,Raynel Espinal,CIN,39.6%,75.0%,52.6%,63.2%,76.2%,70.0%,36.8%,52.4%,15.8%,14.5%,30.3%,2022.0,2022-01-01
57,Scott Alexander,SFG,39.5%,64.7%,49.5%,68.6%,85.5%,77.4%,39.7%,66.7%,11.2%,19.2%,30.4%,2022.0,2022-01-01
58,Brusdar Graterol,LAD,39.5%,74.1%,56.7%,70.1%,88.0%,81.7%,49.8%,66.0%,10.4%,15.3%,25.6%,2022.0,2022-01-01
59,Andrew Heaney,LAD,39.5%,67.2%,50.7%,52.1%,79.5%,66.8%,40.7%,67.7%,16.8%,15.7%,32.5%,2022.0,2022-01-01
60,Collin Wiles,OAK,39.4%,64.4%,46.8%,65.1%,93.1%,76.4%,29.2%,58.5%,11.0%,16.9%,27.9%,2022.0,2022-01-01
61,Jhon Romero,MIN,39.2%,66.7%,51.1%,70.0%,84.6%,78.3%,43.3%,75.0%,11.1%,16.7%,27.8%,2022.0,2022-01-01
62,Tyler Anderson,LAD,39.1%,69.7%,52.4%,65.3%,86.3%,77.4%,43.4%,66.1%,11.8%,16.2%,28.1%,2022.0,2022-01-01
63,Will Smith,- - -,39.1%,67.5%,50.5%,51.5%,86.8%,70.4%,40.0%,66.3%,14.9%,15.7%,30.7%,2022.0,2022-01-01
64,Jeffrey Springs,TBR,38.9%,66.2%,50.1%,64.0%,80.7%,73.1%,41.1%,64.1%,13.5%,16.3%,29.8%,2022.0,2022-01-01
65,Corey Kluber,TBR,38.8%,67.5%,51.0%,65.1%,87.4%,77.6%,42.5%,68.4%,11.4%,18.3%,29.7%,2022.0,2022-01-01
66,Richard Bleier,MIA,38.7%,73.2%,54.9%,70.7%,90.6%,83.2%,47.1%,65.8%,9.2%,15.9%,25.1%,2022.0,2022-01-01
67,Jason Adam,TBR,38.6%,65.0%,49.8%,47.4%,77.3%,64.0%,42.5%,64.1%,17.9%,17.3%,35.2%,2022.0,2022-01-01
68,Ryan Brasier,BOS,38.6%,74.2%,54.7%,61.5%,86.1%,76.6%,45.3%,67.7%,12.8%,15.2%,28.0%,2022.0,2022-01-01
69,Ryan Helsley,STL,38.6%,70.8%,52.9%,47.1%,77.6%,65.2%,44.5%,63.2%,18.4%,14.3%,32.7%,2022.0,2022-01-01
70,Collin McHugh,ATL,38.5%,67.0%,49.6%,62.7%,85.2%,74.6%,39.0%,65.1%,12.6%,16.1%,28.7%,2022.0,2022-01-01
71,Carlos Carrasco,NYM,38.5%,72.8%,51.8%,60.8%,86.8%,74.9%,38.7%,68.4%,13.0%,14.1%,27.1%,2022.0,2022-01-01
72,Joely Rodriguez,NYM,38.4%,49.2%,42.5%,64.2%,85.4%,73.5%,37.9%,64.8%,11.3%,20.5%,31.8%,2022.0,2022-01-01
73,Jeremiah Estrada,CHC,38.4%,86.4%,56.4%,67.9%,81.6%,75.8%,37.6%,72.0%,13.7%,6.0%,19.7%,2022.0,2022-01-01
74,A.J. Minter,ATL,38.3%,69.9%,51.4%,57.6%,78.8%,69.5%,41.3%,66.1%,15.7%,15.3%,31.0%,2022.0,2022-01-01
75,Adbert Alzolay,CHC,38.2%,69.9%,51.8%,50.0%,82.8%,69.0%,43.0%,75.0%,16.1%,15.5%,31.6%,2022.0,2022-01-01
76,Nick Vespi,BAL,38.1%,64.1%,48.7%,52.5%,83.6%,69.1%,40.6%,58.9%,15.0%,16.6%,31.6%,2022.0,2022-01-01
77,Scott Barlow,KCR,38.1%,59.6%,46.2%,51.6%,87.3%,68.9%,37.6%,61.0%,14.4%,18.9%,33.2%,2022.0,2022-01-01
78,Griffin Jax,MIN,38.0%,63.2%,48.5%,57.6%,85.5%,72.7%,41.6%,64.5%,13.2%,18.8%,32.0%,2022.0,2022-01-01
79,Shawn Armstrong,- - -,37.9%,70.8%,53.8%,69.9%,80.7%,76.7%,48.1%,64.3%,12.5%,15.7%,28.2%,2022.0,2022-01-01
80,Ross Stripling,TOR,37.9%,69.8%,51.4%,67.1%,87.0%,78.6%,42.4%,70.3%,11.0%,16.5%,27.5%,2022.0,2022-01-01
81,Denyi Reyes,BAL,37.9%,84.3%,58.1%,68.0%,88.4%,80.9%,43.6%,64.5%,11.1%,11.1%,22.2%,2022.0,2022-01-01
82,Sandy Alcantara,MIA,37.9%,72.5%,52.9%,64.6%,85.4%,77.0%,43.5%,62.4%,12.2%,15.3%,27.5%,2022.0,2022-01-01
83,Wandy Peralta,NYY,37.8%,76.4%,51.2%,53.2%,82.0%,68.2%,34.8%,58.7%,16.3%,11.5%,27.8%,2022.0,2022-01-01
84,Max Scherzer,NYM,37.8%,70.9%,52.0%,57.3%,81.8%,71.6%,42.8%,66.4%,14.8%,16.1%,30.8%,2022.0,2022-01-01
85,Caleb Thielbar,MIN,37.7%,73.4%,54.0%,63.2%,77.8%,72.3%,45.7%,68.6%,15.0%,15.2%,30.1%,2022.0,2022-01-01
86,Chad Green,NYY,37.6%,78.4%,57.3%,68.1%,78.0%,74.6%,48.1%,71.0%,14.5%,12.0%,26.6%,2022.0,2022-01-01
87,Josh Fleming,TBR,37.6%,69.7%,48.6%,67.5%,89.3%,78.3%,34.4%,65.7%,10.6%,16.8%,27.3%,2022.0,2022-01-01
88,Matthew Boyd,SEA,37.5%,65.6%,46.9%,58.3%,88.1%,72.2%,33.3%,64.2%,13.0%,18.8%,31.8%,2022.0,2022-01-01
89,John Means,BAL,37.5%,78.2%,54.1%,70.0%,86.0%,79.5%,40.7%,52.9%,11.1%,11.1%,22.2%,2022.0,2022-01-01
90,Jose Castillo,SDP,37.5%,87.5%,62.5%,33.3%,85.7%,70.0%,50.0%,80.0%,18.8%,6.3%,25.0%,2022.0,2022-01-01
91,Jordan Weems,WSN,37.5%,78.1%,54.6%,67.5%,84.0%,77.4%,42.1%,55.4%,12.3%,12.2%,24.5%,2022.0,2022-01-01
92,Dylan Bundy,MIN,37.5%,68.5%,51.7%,69.6%,88.7%,81.2%,45.6%,67.6%,9.7%,16.9%,26.7%,2022.0,2022-01-01
93,Keynan Middleton,ARI,37.4%,72.0%,54.4%,56.5%,74.1%,67.9%,49.0%,63.8%,17.4%,15.8%,33.2%,2022.0,2022-01-01
94,Keegan Akin,BAL,37.4%,69.6%,52.6%,67.1%,83.3%,77.2%,47.4%,63.2%,12.0%,17.0%,29.0%,2022.0,2022-01-01
95,Alex Lange,DET,37.3%,58.6%,44.1%,38.6%,81.4%,56.6%,31.6%,54.6%,19.1%,15.3%,34.4%,2022.0,2022-01-01
96,Marco Gonzales,SEA,37.3%,72.2%,50.7%,77.6%,88.4%,83.5%,38.4%,63.1%,8.4%,15.1%,23.5%,2022.0,2022-01-01
97,Giovanny Gallegos,STL,37.3%,73.6%,52.0%,47.0%,81.4%,66.7%,40.6%,67.2%,17.3%,14.5%,31.8%,2022.0,2022-01-01
98,Jose Alvarado,PHI,37.3%,63.9%,46.7%,46.9%,81.8%,63.7%,35.2%,60.7%,16.9%,15.4%,32.3%,2022.0,2022-01-01
99,Hector Neris,HOU,37.3%,65.8%,49.3%,55.5%,83.3%,71.1%,42.2%,59.3%,14.2%,16.9%,31.1%,2022.0,2022-01-01
100,Drew Rasmussen,TBR,37.2%,73.8%,52.7%,62.7%,86.9%,77.0%,42.4%,62.7%,12.1%,13.8%,25.9%,2022.0,2022-01-01
101,Connor Brogdon,PHI,37.2%,72.9%,51.8%,62.2%,75.5%,69.8%,41.0%,66.0%,15.6%,14.6%,30.3%,2022.0,2022-01-01
102,Bailey Ober,MIN,37.1%,74.7%,52.8%,64.9%,81.6%,74.7%,41.7%,67.8%,13.3%,13.9%,27.3%,2022.0,2022-01-01
103,Tyler Holton,ARI,37.1%,72.6%,50.9%,61.1%,82.2%,72.8%,39.0%,61.5%,13.8%,11.3%,25.2%,2022.0,2022-01-01
104,Robert Stephenson,- - -,37.1%,73.7%,52.6%,57.9%,83.6%,73.2%,42.5%,62.8%,14.1%,15.0%,29.1%,2022.0,2022-01-01
105,Easton McGee,TBR,37.0%,68.4%,50.0%,80.0%,100.0%,91.3%,41.3%,57.1%,4.3%,17.4%,21.7%,2022.0,2022-01-01
106,Joe Jimenez,DET,37.0%,70.9%,52.9%,59.2%,80.4%,72.6%,47.0%,62.3%,14.5%,16.0%,30.5%,2022.0,2022-01-01
107,Aaron Nola,PHI,37.0%,65.4%,49.3%,60.4%,84.7%,74.4%,43.2%,70.1%,12.6%,19.7%,32.4%,2022.0,2022-01-01
108,Ronel Blanco,HOU,37.0%,91.5%,58.3%,48.1%,79.1%,67.1%,39.2%,62.5%,19.2%,4.2%,23.3%,2022.0,2022-01-01
109,Braxton Garrett,MIA,37.0%,63.2%,48.1%,53.9%,92.4%,75.4%,42.3%,66.0%,11.8%,19.1%,30.9%,2022.0,2022-01-01
110,Parker Mushinski,HOU,36.9%,67.4%,49.5%,50.0%,71.0%,61.8%,41.4%,60.0%,18.9%,13.5%,32.4%,2022.0,2022-01-01
111,Jordan Romano,TOR,36.9%,71.5%,52.0%,56.8%,81.8%,71.8%,43.6%,69.0%,14.7%,16.0%,30.6%,2022.0,2022-01-01
112,Chris Paddack,MIN,36.9%,68.3%,52.3%,75.4%,82.9%,80.2%,49.0%,65.6%,10.4%,16.9%,27.2%,2022.0,2022-01-01
113,Justin Verlander,HOU,36.9%,76.0%,53.5%,68.2%,85.0%,78.4%,42.5%,62.0%,11.6%,15.0%,26.5%,2022.0,2022-01-01
114,Austin Pruitt,OAK,36.8%,74.7%,50.7%,68.3%,85.1%,77.3%,36.6%,67.9%,11.5%,15.7%,27.2%,2022.0,2022-01-01
115,Luis Torrens,SEA,36.8%,80.0%,55.9%,71.4%,100.0%,89.5%,44.1%,60.0%,5.9%,8.8%,14.7%,2022.0,2022-01-01
116,Dylan Floro,MIA,36.8%,65.1%,48.4%,70.6%,89.2%,80.9%,41.1%,64.1%,9.3%,18.9%,28.2%,2022.0,2022-01-01
117,Ryan Pressly,HOU,36.8%,68.1%,48.2%,46.4%,79.1%,63.3%,36.6%,64.8%,17.7%,15.5%,33.2%,2022.0,2022-01-01
118,Max Fried,ATL,36.8%,70.1%,49.5%,63.6%,86.1%,75.8%,38.3%,61.5%,12.0%,15.5%,27.5%,2022.0,2022-01-01
119,J.P. Feyereisen,TBR,36.8%,74.2%,51.2%,56.4%,77.6%,68.2%,38.4%,65.1%,16.3%,13.7%,29.9%,2022.0,2022-01-01
120,Justin Wilson,CIN,36.7%,58.3%,46.3%,63.6%,57.1%,60.0%,44.4%,61.5%,18.5%,22.2%,40.7%,2022.0,2022-01-01
121,James Naile,STL,36.6%,72.7%,52.4%,65.4%,90.0%,80.3%,43.7%,73.0%,10.3%,15.1%,25.4%,2022.0,2022-01-01
122,Aaron Loup,LAA,36.6%,66.4%,48.8%,65.1%,86.3%,76.9%,41.0%,58.1%,11.3%,16.1%,27.4%,2022.0,2022-01-01
123,Packy Naughton,STL,36.6%,66.2%,47.3%,64.9%,85.9%,75.6%,36.3%,63.1%,11.6%,16.0%,27.6%,2022.0,2022-01-01
124,Taylor Clarke,KCR,36.5%,78.3%,53.6%,64.5%,85.8%,77.2%,40.7%,66.5%,12.2%,10.8%,23.1%,2022.0,2022-01-01
125,Reed Garrett,WSN,36.5%,65.7%,46.9%,76.1%,87.0%,81.5%,35.7%,59.2%,8.7%,13.3%,21.9%,2022.0,2022-01-01
126,Garrett Richards,TEX,36.5%,70.6%,50.3%,63.0%,85.6%,75.8%,40.4%,58.9%,12.1%,14.5%,26.7%,2022.0,2022-01-01
127,Matthew Festa,SEA,36.4%,67.8%,49.4%,55.7%,83.7%,71.6%,41.2%,60.3%,14.0%,16.9%,31.0%,2022.0,2022-01-01
128,Reynaldo Lopez,CHW,36.4%,70.7%,49.9%,59.9%,81.8%,72.2%,39.5%,61.4%,13.9%,15.4%,29.3%,2022.0,2022-01-01
129,Jose Alvarez,SFG,36.4%,66.0%,46.9%,68.8%,90.6%,79.7%,35.5%,51.3%,9.5%,16.1%,25.6%,2022.0,2022-01-01
130,Alec Mills,CHC,36.4%,67.5%,49.3%,68.8%,97.6%,85.2%,41.7%,69.0%,7.3%,17.5%,24.8%,2022.0,2022-01-01
131,Gerardo Reyes,LAA,36.4%,57.1%,42.6%,66.7%,87.5%,75.0%,29.8%,58.3%,10.6%,21.3%,31.9%,2022.0,2022-01-01
132,Drew Smyly,CHC,36.4%,71.2%,51.9%,62.7%,84.6%,76.1%,44.7%,68.5%,12.4%,15.0%,27.5%,2022.0,2022-01-01
133,Nathan Eovaldi,BOS,36.3%,73.0%,52.3%,61.8%,85.6%,76.3%,43.6%,68.0%,12.4%,16.0%,28.4%,2022.0,2022-01-01
134,Jordan Montgomery,- - -,36.3%,70.9%,50.5%,64.0%,82.0%,74.4%,41.0%,65.7%,12.9%,15.7%,28.6%,2022.0,2022-01-01
135,Garrett Cleavinger,- - -,36.3%,57.3%,45.0%,55.4%,85.4%,71.2%,41.2%,57.6%,13.0%,22.5%,35.4%,2022.0,2022-01-01
136,Erik Swanson,SEA,36.2%,74.7%,52.8%,68.0%,72.9%,71.0%,43.2%,65.0%,15.3%,14.9%,30.2%,2022.0,2022-01-01
137,Derek Law,- - -,36.2%,61.1%,45.5%,65.0%,92.5%,78.8%,37.2%,64.1%,9.7%,18.2%,27.8%,2022.0,2022-01-01
138,Julio Urias,LAD,36.1%,70.0%,51.4%,65.9%,86.2%,78.4%,45.2%,66.6%,11.1%,17.1%,28.2%,2022.0,2022-01-01
139,Eduard Bazardo,BOS,36.1%,66.3%,47.9%,55.8%,91.8%,75.2%,39.0%,55.4%,11.9%,14.8%,26.7%,2022.0,2022-01-01
140,Penn Murfee,SEA,36.1%,68.5%,50.2%,62.3%,87.7%,77.4%,43.7%,65.4%,11.4%,18.4%,29.8%,2022.0,2022-01-01
141,Roenis Elias,SEA,36.1%,75.5%,54.4%,72.7%,90.0%,83.9%,46.5%,69.7%,8.8%,14.9%,23.7%,2022.0,2022-01-01
142,Zach Plesac,CLE,36.1%,73.0%,51.2%,71.0%,86.7%,80.1%,41.0%,61.4%,10.2%,14.0%,24.2%,2022.0,2022-01-01
143,Jose Suarez,LAA,36.1%,70.2%,51.0%,64.1%,85.6%,77.0%,43.7%,64.5%,11.7%,15.3%,27.0%,2022.0,2022-01-01
144,Emilio Pagan,MIN,36.1%,74.8%,51.6%,66.3%,77.5%,72.8%,40.1%,63.9%,14.0%,14.1%,28.2%,2022.0,2022-01-01
145,Jose Quijada,LAA,36.0%,73.9%,50.9%,60.3%,78.6%,70.7%,39.4%,61.5%,14.9%,13.3%,28.2%,2022.0,2022-01-01
146,Luke Weaver,- - -,36.0%,76.6%,52.8%,67.8%,87.8%,79.8%,41.5%,55.7%,10.7%,12.1%,22.7%,2022.0,2022-01-01
147,Josh VanMeter,PIT,36.0%,79.2%,50.0%,100.0%,94.7%,97.3%,32.4%,51.9%,1.4%,13.5%,14.9%,2022.0,2022-01-01
148,Devin Williams,MIL,36.0%,67.0%,47.0%,47.2%,74.4%,61.0%,35.5%,57.9%,18.4%,15.5%,33.9%,2022.0,2022-01-01
149,Jose Quintana,- - -,36.0%,69.0%,47.7%,66.4%,88.5%,77.7%,35.5%,61.4%,10.6%,14.7%,25.3%,2022.0,2022-01-01
150,Zack Wheeler,PHI,36.0%,69.9%,50.3%,67.7%,84.1%,77.3%,42.3%,67.2%,11.4%,16.2%,27.7%,2022.0,2022-01-01
151,Lance Lynn,CHW,35.9%,75.5%,52.3%,64.9%,81.3%,74.6%,41.2%,65.4%,13.3%,13.4%,26.7%,2022.0,2022-01-01
152,Trevor Stephan,CLE,35.9%,69.5%,50.0%,52.8%,78.3%,67.6%,41.7%,64.4%,16.2%,15.3%,31.5%,2022.0,2022-01-01
153,Andrew Chafin,DET,35.9%,67.3%,46.7%,51.9%,88.9%,70.2%,34.4%,63.4%,13.9%,16.1%,30.0%,2022.0,2022-01-01
154,Cole Sulser,MIA,35.9%,72.4%,49.6%,57.6%,85.7%,73.0%,37.5%,63.8%,13.4%,15.2%,28.6%,2022.0,2022-01-01
