#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
134,Shohei Ohtani,LAA,36.8%,66.7%,50.6%,39.7%,75.4%,61.5%,46.3%,62.7%,19.5%,17.2%,36.7%,5.0,2022-07-01
135,Jose Urquidy,HOU,36.8%,73.9%,53.5%,71.8%,90.0%,83.2%,45.1%,65.6%,9.0%,14.9%,23.9%,5.0,2022-07-01
136,Jimmy Lambert,CHW,36.8%,62.3%,46.4%,71.9%,87.9%,80.0%,37.9%,67.6%,9.3%,19.3%,28.6%,5.0,2022-07-01
137,Johan Oviedo,STL,36.8%,71.8%,52.5%,56.3%,80.4%,71.1%,44.9%,69.4%,15.2%,15.8%,31.0%,5.0,2022-07-01
138,Matthew Liberatore,STL,36.8%,68.2%,48.1%,69.8%,91.1%,80.7%,36.1%,57.8%,9.2%,13.6%,22.8%,5.0,2022-07-01
139,German Marquez,COL,36.7%,69.2%,50.6%,61.8%,90.3%,78.5%,42.8%,62.8%,10.9%,14.8%,25.7%,5.0,2022-07-01
140,Nick Sandlin,CLE,36.7%,70.2%,51.4%,59.1%,72.7%,67.3%,43.9%,70.4%,16.8%,16.8%,33.6%,5.0,2022-07-01
141,Mason Thompson,WSN,36.7%,74.3%,56.9%,81.8%,96.2%,91.9%,53.8%,43.8%,4.6%,12.3%,16.9%,5.0,2022-07-01
142,Mauricio Llovera,SFG,36.6%,66.1%,49.3%,56.7%,82.9%,71.8%,43.1%,56.7%,13.9%,16.7%,30.6%,5.0,2022-07-01
143,Nestor Cortes,NYY,36.6%,70.8%,50.6%,68.1%,84.1%,77.3%,40.9%,63.2%,11.5%,16.8%,28.3%,5.0,2022-07-01
144,Cole Irvin,OAK,36.5%,72.4%,52.1%,79.5%,88.1%,84.7%,43.4%,61.8%,8.0%,16.2%,24.2%,5.0,2022-07-01
145,Cal Quantrill,CLE,36.5%,69.4%,48.4%,71.6%,89.0%,80.6%,36.2%,61.7%,9.4%,14.1%,23.5%,5.0,2022-07-01
146,Lucas Luetge,NYY,36.4%,58.8%,43.6%,53.8%,85.0%,67.4%,32.2%,60.4%,14.2%,18.0%,32.2%,5.0,2022-07-01
147,Jaime Barria,LAA,36.4%,66.7%,51.6%,71.4%,90.4%,83.8%,50.3%,72.3%,8.4%,18.7%,27.1%,5.0,2022-07-01
148,Shane Bieber,CLE,36.3%,68.4%,51.5%,33.3%,88.9%,68.3%,47.4%,71.4%,16.3%,18.3%,34.6%,5.0,2022-07-01
149,Patrick Corbin,WSN,36.3%,70.9%,49.0%,70.9%,88.0%,80.0%,36.7%,73.3%,9.8%,13.6%,23.4%,5.0,2022-07-01
150,Kyle Hendricks,CHC,36.2%,59.1%,43.5%,64.7%,76.9%,70.0%,31.9%,38.5%,13.0%,17.4%,30.4%,5.0,2022-07-01
151,Yoan Lopez,NYM,36.2%,81.3%,47.6%,70.6%,100.0%,83.3%,25.4%,61.5%,7.9%,12.7%,20.6%,5.0,2022-07-01
152,Max Scherzer,NYM,36.1%,68.7%,50.9%,52.2%,75.2%,66.2%,45.3%,70.6%,17.2%,18.5%,35.6%,5.0,2022-07-01
153,Jose Quintana,PIT,36.1%,66.9%,47.4%,66.3%,95.4%,81.4%,36.8%,58.6%,8.8%,16.3%,25.1%,5.0,2022-07-01
154,Joan Adon,WSN,35.9%,71.9%,47.9%,69.6%,87.0%,78.3%,33.3%,52.4%,10.4%,13.5%,24.0%,5.0,2022-07-01
155,Justin Verlander,HOU,35.9%,78.0%,53.1%,60.0%,85.2%,75.1%,40.9%,59.0%,13.2%,13.7%,26.9%,5.0,2022-07-01
156,Ross Stripling,TOR,35.8%,69.0%,49.3%,66.7%,92.5%,81.4%,40.7%,68.6%,9.2%,16.5%,25.7%,5.0,2022-07-01
157,Jose Alvarado,PHI,35.8%,65.3%,46.1%,43.8%,76.6%,60.0%,35.0%,65.2%,18.4%,15.0%,33.5%,5.0,2022-07-01
158,Tanner Houck,BOS,35.8%,70.4%,48.3%,52.9%,84.2%,69.4%,36.2%,63.6%,14.8%,16.1%,30.9%,5.0,2022-07-01
159,Kyle Wright,ATL,35.8%,66.4%,50.3%,54.2%,86.4%,74.4%,47.6%,69.5%,12.9%,20.5%,33.4%,5.0,2022-07-01
160,Ross Detwiler,CIN,35.7%,67.6%,50.6%,80.0%,88.0%,85.0%,46.8%,50.0%,7.6%,13.9%,21.5%,5.0,2022-07-01
161,Jose Suarez,LAA,35.7%,70.0%,50.0%,68.3%,83.3%,77.1%,41.7%,66.2%,11.5%,16.7%,28.1%,5.0,2022-07-01
162,Austin Warren,LAA,35.7%,80.0%,52.7%,75.0%,96.4%,87.5%,38.5%,61.9%,6.6%,11.0%,17.6%,5.0,2022-07-01
163,Mike Clevinger,SDP,35.6%,75.0%,52.9%,64.4%,80.8%,74.6%,43.8%,62.0%,13.4%,12.5%,25.9%,5.0,2022-07-01
164,Michael Pineda,DET,35.5%,68.8%,49.8%,77.3%,92.8%,86.5%,43.1%,62.0%,6.7%,15.6%,22.3%,5.0,2022-07-01
165,Craig Kimbrel,LAD,35.4%,77.1%,53.4%,60.0%,86.5%,76.5%,43.0%,64.0%,12.6%,12.6%,25.1%,5.0,2022-07-01
166,Brett Martin,TEX,35.4%,60.3%,45.3%,50.0%,94.7%,73.6%,39.6%,61.2%,11.9%,18.2%,30.2%,5.0,2022-07-01
167,Gerrit Cole,NYY,35.4%,64.8%,47.4%,62.1%,79.5%,71.8%,40.7%,61.3%,13.4%,18.8%,32.1%,5.0,2022-07-01
168,Austin Pruitt,OAK,35.4%,70.0%,48.5%,61.5%,85.7%,74.8%,38.0%,76.6%,12.2%,16.5%,28.7%,5.0,2022-07-01
169,Luis Castillo,CIN,35.4%,70.2%,51.1%,66.7%,82.6%,76.5%,45.1%,58.2%,12.0%,15.8%,27.8%,5.0,2022-07-01
170,Adrian Sampson,CHC,35.3%,70.1%,48.1%,72.1%,89.2%,81.2%,36.6%,55.7%,9.0%,14.8%,23.8%,5.0,2022-07-01
171,Daniel Castano,MIA,35.3%,70.8%,51.6%,78.7%,91.3%,86.6%,45.9%,67.7%,6.9%,15.9%,22.8%,5.0,2022-07-01
172,Lance Lynn,CHW,35.3%,72.2%,50.4%,71.7%,85.4%,79.7%,41.1%,61.9%,10.2%,15.1%,25.3%,5.0,2022-07-01
173,Nick Nelson,PHI,35.2%,70.4%,48.2%,39.5%,80.0%,61.3%,36.8%,54.2%,18.7%,13.0%,31.6%,5.0,2022-07-01
174,Max Fried,ATL,35.2%,71.4%,49.5%,74.0%,87.7%,81.8%,39.4%,56.6%,9.0%,14.1%,23.1%,5.0,2022-07-01
175,Jackson Kowar,KCR,35.1%,65.7%,46.6%,69.2%,88.6%,79.5%,37.6%,48.9%,9.6%,15.2%,24.7%,5.0,2022-07-01
176,Nick Vespi,BAL,35.1%,59.4%,43.8%,30.0%,68.4%,48.7%,36.0%,47.6%,22.5%,15.7%,38.2%,5.0,2022-07-01
177,Kyle Finnegan,WSN,35.1%,75.7%,55.0%,66.7%,76.8%,73.5%,49.0%,59.5%,14.6%,12.6%,27.2%,5.0,2022-07-01
178,Logan Gilbert,SEA,35.0%,77.0%,53.6%,63.0%,84.5%,76.7%,44.3%,70.0%,12.5%,12.9%,25.4%,5.0,2022-07-01
179,Phil Bickford,LAD,35.0%,65.4%,48.1%,69.4%,74.5%,72.4%,43.1%,62.2%,13.3%,18.8%,32.0%,5.0,2022-07-01
180,Jackson Stephens,ATL,34.9%,75.7%,53.6%,62.1%,83.0%,75.6%,45.8%,55.9%,13.1%,14.4%,27.5%,5.0,2022-07-01
181,Luis Garcia,HOU,34.9%,68.5%,47.8%,67.1%,83.0%,75.8%,38.3%,58.5%,11.5%,15.7%,27.3%,5.0,2022-07-01
182,Ryan Brasier,BOS,34.8%,72.9%,51.6%,58.1%,74.5%,68.3%,44.0%,61.9%,16.4%,18.2%,34.6%,5.0,2022-07-01
183,Ryan Borucki,SEA,34.8%,69.2%,47.5%,61.3%,88.9%,76.1%,36.9%,55.6%,11.3%,14.2%,25.5%,5.0,2022-07-01
184,Pablo Lopez,MIA,34.7%,68.9%,47.9%,67.0%,80.3%,74.3%,38.4%,54.3%,12.3%,15.5%,27.7%,5.0,2022-07-01
185,Janson Junk,LAA,34.7%,64.9%,47.7%,64.7%,87.5%,78.0%,43.0%,50.0%,10.5%,15.1%,25.6%,5.0,2022-07-01
186,Trevor Megill,MIN,34.6%,62.9%,48.0%,66.7%,90.9%,81.7%,47.3%,57.9%,8.8%,18.2%,27.0%,5.0,2022-07-01
187,Jose Cuas,KCR,34.6%,50.0%,40.0%,76.1%,88.9%,81.7%,35.1%,60.4%,7.3%,22.0%,29.3%,5.0,2022-07-01
188,Devin Williams,MIL,34.5%,64.4%,45.0%,36.8%,71.1%,53.9%,34.9%,50.0%,20.7%,16.6%,37.3%,5.0,2022-07-01
189,Brent Suter,MIL,34.5%,61.7%,45.6%,80.0%,73.0%,76.1%,40.8%,66.7%,10.9%,19.7%,30.6%,5.0,2022-07-01
190,Brusdar Graterol,LAD,34.5%,75.0%,55.7%,70.0%,91.7%,85.3%,52.5%,81.3%,8.2%,16.4%,24.6%,5.0,2022-07-01
191,Joe Musgrove,SDP,34.4%,64.7%,47.0%,66.2%,84.8%,76.9%,41.6%,62.6%,10.9%,18.5%,29.3%,5.0,2022-07-01
192,Chris Stratton,PIT,34.4%,64.4%,46.1%,71.9%,86.8%,80.0%,38.8%,68.4%,9.2%,17.1%,26.3%,5.0,2022-07-01
193,Frankie Montas,OAK,34.4%,74.5%,48.6%,59.4%,89.5%,75.7%,35.4%,50.0%,11.8%,8.3%,20.1%,5.0,2022-07-01
194,Konnor Pilkington,CLE,34.4%,78.9%,50.8%,69.6%,86.7%,79.4%,36.8%,53.1%,10.5%,10.5%,20.9%,5.0,2022-07-01
195,James Kaprielian,OAK,34.3%,70.2%,49.4%,64.3%,88.8%,78.9%,42.1%,64.5%,10.4%,14.9%,25.3%,5.0,2022-07-01
196,Jose Urena,COL,34.2%,72.1%,46.7%,76.5%,90.6%,83.7%,33.0%,59.8%,7.6%,13.7%,21.3%,5.0,2022-07-01
197,Spencer Strider,ATL,34.2%,71.5%,50.3%,58.9%,77.6%,70.4%,43.2%,62.9%,14.9%,14.5%,29.4%,5.0,2022-07-01
198,Dylan Cease,CHW,34.2%,64.3%,45.0%,44.3%,83.9%,64.6%,35.7%,55.6%,15.9%,16.3%,32.2%,5.0,2022-07-01
199,Jose Cisnero,DET,34.1%,65.5%,47.1%,85.7%,78.9%,81.8%,41.4%,52.9%,8.6%,12.9%,21.4%,5.0,2022-07-01
200,Tim Hill,SDP,34.1%,68.8%,50.9%,85.7%,88.7%,87.7%,48.4%,68.9%,6.3%,19.5%,25.8%,5.0,2022-07-01
201,Jharel Cotton,MIN,34.1%,78.0%,52.3%,65.9%,87.3%,79.1%,41.4%,61.2%,10.9%,12.3%,23.2%,5.0,2022-07-01
202,Phoenix Sanders,TBR,34.1%,77.8%,50.7%,66.7%,100.0%,86.1%,38.0%,77.8%,7.0%,16.9%,23.9%,5.0,2022-07-01
203,Tanner Rainey,WSN,34.0%,70.0%,48.1%,56.3%,66.7%,62.2%,39.0%,60.0%,18.2%,15.6%,33.8%,5.0,2022-07-01
204,Trent Thornton,TOR,34.0%,65.5%,46.1%,75.0%,84.2%,80.0%,38.2%,57.9%,9.2%,13.2%,22.4%,5.0,2022-07-01
205,Mitch White,LAD,33.9%,70.9%,48.9%,78.7%,91.6%,86.3%,40.6%,55.4%,6.7%,15.1%,21.8%,5.0,2022-07-01
206,Drew Smyly,CHC,33.9%,73.3%,51.1%,54.2%,87.9%,75.3%,43.7%,64.5%,12.6%,12.9%,25.6%,5.0,2022-07-01
207,Hunter Harvey,WSN,33.9%,65.3%,47.7%,66.7%,87.5%,79.2%,44.1%,62.1%,9.9%,24.3%,34.2%,5.0,2022-07-01
208,Albert Abreu,NYY,33.9%,64.3%,46.2%,71.4%,79.6%,76.0%,40.4%,64.2%,11.1%,20.7%,31.7%,5.0,2022-07-01
209,Jonathan Loaisiga,NYY,33.9%,71.1%,48.0%,76.2%,88.9%,83.3%,38.0%,44.4%,8.0%,16.0%,24.0%,5.0,2022-07-01
210,Yu Darvish,SDP,33.8%,66.3%,49.9%,66.3%,82.5%,76.9%,49.5%,70.6%,11.5%,19.6%,31.1%,5.0,2022-07-01
211,Gregory Soto,DET,33.8%,70.2%,47.9%,68.0%,75.8%,72.4%,38.8%,46.7%,13.2%,14.0%,27.3%,5.0,2022-07-01
212,Andres Munoz,SEA,33.7%,75.6%,53.8%,43.3%,72.6%,63.0%,48.0%,58.5%,19.9%,14.0%,33.9%,5.0,2022-07-01
213,Zac Gallen,ARI,33.7%,67.6%,46.5%,73.5%,87.4%,81.1%,37.7%,63.2%,8.8%,17.1%,25.9%,5.0,2022-07-01
214,Buck Farmer,CIN,33.7%,65.6%,45.9%,66.7%,70.0%,68.5%,38.4%,70.0%,14.5%,17.6%,32.1%,5.0,2022-07-01
215,Taylor Rogers,SDP,33.7%,61.3%,46.7%,51.4%,89.5%,75.0%,47.2%,72.0%,11.7%,21.3%,33.0%,5.0,2022-07-01
216,Wil Crowe,PIT,33.6%,62.9%,45.2%,63.9%,86.4%,76.3%,39.5%,53.1%,10.7%,16.9%,27.7%,5.0,2022-07-01
217,Jose Quijada,LAA,33.6%,83.0%,48.4%,59.5%,82.1%,71.1%,29.9%,47.1%,14.0%,9.6%,23.6%,5.0,2022-07-01
218,Trevor Williams,NYM,33.6%,72.3%,51.1%,63.4%,91.8%,81.6%,45.3%,77.0%,9.4%,17.5%,26.9%,5.0,2022-07-01
219,Mark Leiter,CHC,33.5%,61.0%,43.7%,52.6%,88.5%,71.2%,37.0%,54.4%,12.6%,18.5%,31.1%,5.0,2022-07-01
220,George Kirby,SEA,33.5%,67.1%,48.6%,72.4%,84.0%,79.6%,44.7%,67.9%,9.9%,19.2%,29.1%,5.0,2022-07-01
221,Clayton Kershaw,LAD,33.3%,70.2%,49.3%,51.1%,88.9%,74.4%,43.2%,71.0%,12.6%,18.7%,31.4%,5.0,2022-07-01
222,Mark Melancon,ARI,33.3%,63.9%,46.5%,55.6%,84.6%,72.7%,43.0%,67.5%,12.7%,17.6%,30.3%,5.0,2022-07-01
223,Ian Kennedy,ARI,33.3%,56.0%,41.8%,78.6%,78.6%,78.6%,37.3%,88.2%,9.0%,23.9%,32.8%,5.0,2022-07-01
224,Chris Martin,CHC,33.3%,67.6%,50.0%,57.7%,76.0%,69.7%,48.7%,78.4%,15.1%,19.1%,34.2%,5.0,2022-07-01
225,Michael Lorenzen,LAA,33.3%,86.7%,56.5%,53.8%,73.1%,66.7%,43.5%,73.7%,18.8%,10.1%,29.0%,5.0,2022-07-01
226,Brennan Bernardino,SEA,33.3%,100.0%,66.7%,100.0%,100.0%,100.0%,50.0%,33.3%,0.0%,0.0%,0.0%,5.0,2022-07-01
227,Luke Weaver,ARI,33.3%,76.6%,52.0%,71.4%,81.6%,77.9%,43.2%,61.3%,11.5%,13.5%,25.0%,5.0,2022-07-01
228,Spenser Watkins,BAL,33.3%,73.0%,50.7%,65.1%,87.0%,78.9%,43.9%,67.4%,10.7%,16.0%,26.7%,5.0,2022-07-01
229,Alex Young,CLE,33.3%,100.0%,66.7%,100.0%,33.3%,50.0%,50.0%,50.0%,33.3%,0.0%,33.3%,5.0,2022-07-01
230,Rico Garcia,BAL,33.3%,70.0%,50.8%,90.9%,81.0%,84.4%,47.6%,50.0%,7.9%,12.7%,20.6%,5.0,2022-07-01
231,David Peterson,NYM,33.2%,66.2%,45.1%,51.7%,84.0%,68.8%,36.0%,62.4%,14.1%,14.8%,28.9%,5.0,2022-07-01
232,Dane Dunning,TEX,33.0%,65.9%,45.9%,66.7%,88.9%,79.2%,39.2%,60.7%,9.5%,16.8%,26.3%,5.0,2022-07-01
233,Jakob Junis,SFG,33.0%,61.8%,45.9%,64.5%,87.2%,78.2%,44.7%,63.0%,10.0%,18.8%,28.8%,5.0,2022-07-01
234,A.J. Puk,OAK,33.0%,73.0%,49.0%,51.6%,80.4%,68.8%,40.1%,66.7%,15.3%,15.3%,30.6%,5.0,2022-07-01
235,Tommy Milone,SEA,32.9%,70.7%,45.5%,81.5%,93.1%,87.5%,33.3%,64.9%,5.7%,13.8%,19.5%,5.0,2022-07-01
236,Bailey Falter,PHI,32.9%,65.5%,48.4%,54.7%,86.3%,75.0%,47.4%,72.3%,12.1%,20.9%,33.0%,5.0,2022-07-01
237,Noe Ramirez,ARI,32.9%,74.6%,51.1%,68.0%,75.0%,72.5%,43.7%,50.0%,14.1%,13.3%,27.4%,5.0,2022-07-01
238,Shane Baz,TBR,32.9%,68.9%,51.0%,41.7%,90.2%,74.7%,50.3%,58.1%,12.9%,17.0%,29.9%,5.0,2022-07-01
239,Johnny Cueto,CHW,32.8%,69.1%,46.8%,86.1%,91.0%,88.9%,38.6%,58.5%,5.2%,16.9%,22.1%,5.0,2022-07-01
240,Zach Jackson,OAK,32.8%,70.5%,45.4%,47.5%,90.7%,69.9%,33.3%,57.1%,13.7%,15.3%,29.0%,5.0,2022-07-01
241,Steven Brault,CHC,32.8%,63.3%,43.2%,68.4%,94.7%,81.6%,34.1%,47.6%,8.0%,14.8%,22.7%,5.0,2022-07-01
242,Matt Wisler,TBR,32.7%,84.2%,53.8%,61.1%,84.4%,76.0%,40.9%,70.0%,12.9%,10.8%,23.7%,5.0,2022-07-01
243,Paolo Espino,WSN,32.7%,69.2%,48.6%,68.2%,86.1%,79.3%,43.6%,52.6%,10.1%,16.8%,26.8%,5.0,2022-07-01
244,Blake Snell,SDP,32.7%,69.8%,47.2%,52.0%,81.3%,69.0%,39.0%,67.3%,14.6%,13.8%,28.5%,5.0,2022-07-01
245,Brandon Woodruff,MIL,32.6%,63.5%,45.5%,50.5%,78.8%,67.0%,41.7%,59.3%,15.0%,19.2%,34.3%,5.0,2022-07-01
246,Hector Neris,HOU,32.6%,69.3%,49.4%,79.3%,88.5%,85.2%,45.7%,52.4%,7.3%,15.2%,22.6%,5.0,2022-07-01
247,Beau Sulser,BAL,32.6%,67.6%,48.1%,78.6%,95.7%,89.2%,44.2%,70.0%,5.2%,13.0%,18.2%,5.0,2022-07-01
248,Marcus Stroman,CHC,32.5%,69.2%,46.1%,65.2%,90.4%,79.2%,37.2%,69.1%,9.6%,18.3%,27.9%,5.0,2022-07-01
249,Max Castillo,TOR,32.5%,69.1%,44.8%,69.2%,92.9%,81.5%,33.6%,55.7%,8.3%,16.6%,24.9%,5.0,2022-07-01
250,Hunter Greene,CIN,32.5%,76.1%,51.4%,56.4%,82.1%,72.9%,43.4%,66.3%,13.9%,13.0%,26.9%,5.0,2022-07-01
251,Rowan Wick,CHC,32.4%,70.2%,48.7%,72.2%,88.1%,82.1%,43.1%,66.0%,8.7%,17.9%,26.7%,5.0,2022-07-01
252,Carlos Rodon,SFG,32.4%,70.0%,49.4%,50.5%,80.1%,69.5%,45.3%,60.4%,15.1%,16.9%,32.0%,5.0,2022-07-01
253,Charlie Morton,ATL,32.4%,65.4%,46.1%,56.4%,79.1%,69.7%,41.4%,55.1%,13.9%,17.0%,30.9%,5.0,2022-07-01
254,Madison Bumgarner,ARI,32.4%,72.4%,49.7%,78.3%,91.7%,86.7%,43.3%,70.5%,6.6%,15.7%,22.3%,5.0,2022-07-01
255,Triston McKenzie,CLE,32.4%,70.9%,48.5%,62.9%,86.5%,77.4%,42.0%,53.6%,11.0%,15.8%,26.8%,5.0,2022-07-01
256,Seranthony Dominguez,PHI,32.3%,70.7%,47.0%,56.7%,90.2%,76.1%,38.4%,56.4%,11.3%,15.9%,27.2%,5.0,2022-07-01
257,Elvin Rodriguez,DET,32.3%,75.0%,46.8%,80.0%,91.7%,86.4%,34.0%,44.4%,6.4%,11.7%,18.1%,5.0,2022-07-01
258,Hirokazu Sawamura,BOS,32.2%,67.0%,44.3%,77.2%,87.3%,82.5%,34.7%,53.5%,7.7%,16.5%,24.2%,5.0,2022-07-01
259,Aaron Ashby,MIL,32.2%,57.9%,43.1%,52.9%,84.1%,70.7%,42.5%,61.7%,12.6%,21.1%,33.8%,5.0,2022-07-01
260,Taijuan Walker,NYM,32.1%,63.8%,44.2%,75.5%,88.3%,82.6%,38.1%,61.0%,7.7%,19.5%,27.2%,5.0,2022-07-01
261,Tyler Wells,BAL,32.1%,70.0%,47.7%,69.2%,77.3%,74.1%,41.2%,60.0%,12.3%,16.0%,28.3%,5.0,2022-07-01
262,Duane Underwood Jr.,PIT,32.1%,71.8%,45.9%,48.8%,86.3%,69.1%,34.6%,40.0%,14.1%,11.7%,25.9%,5.0,2022-07-01
263,Michael Fulmer,DET,32.0%,65.4%,46.4%,51.5%,86.3%,72.6%,43.1%,61.5%,12.7%,17.1%,29.8%,5.0,2022-07-01
264,Phil Maton,HOU,32.0%,66.2%,46.6%,62.5%,83.7%,75.3%,42.5%,52.3%,11.5%,17.8%,29.3%,5.0,2022-07-01
265,Tarik Skubal,DET,32.0%,72.9%,50.9%,66.3%,87.8%,80.5%,46.1%,65.8%,9.9%,14.7%,24.6%,5.0,2022-07-01
266,Kyle Bradish,BAL,32.0%,64.5%,44.4%,50.0%,80.0%,66.7%,38.3%,57.9%,14.8%,19.8%,34.6%,5.0,2022-07-01
267,Tyler Mahle,CIN,32.0%,66.1%,45.6%,69.1%,85.5%,78.6%,40.1%,58.8%,9.8%,16.0%,25.8%,5.0,2022-07-01
268,Adam Oller,OAK,32.0%,80.2%,51.6%,63.8%,84.0%,76.6%,40.7%,57.6%,12.1%,12.9%,25.0%,5.0,2022-07-01
269,Raisel Iglesias,LAA,32.0%,66.7%,47.1%,54.8%,92.0%,77.8%,43.6%,53.7%,10.5%,18.0%,28.5%,5.0,2022-07-01
270,David Robertson,CHC,31.9%,64.1%,45.0%,63.9%,80.0%,73.3%,40.8%,63.3%,12.0%,18.8%,30.9%,5.0,2022-07-01
271,Sam Selman,OAK,31.8%,80.0%,46.9%,85.7%,81.3%,83.3%,31.3%,50.0%,7.8%,17.2%,25.0%,5.0,2022-07-01
272,Luke Bard,TBR,31.8%,70.0%,45.7%,64.3%,88.6%,77.8%,36.2%,67.6%,10.1%,13.8%,23.9%,5.0,2022-07-01
273,JoJo Romero,PHI,31.8%,66.7%,44.1%,71.4%,87.5%,80.0%,35.3%,60.0%,8.8%,11.8%,20.6%,5.0,2022-07-01
274,Enyel De Los Santos,CLE,31.8%,73.8%,49.3%,70.4%,82.2%,77.8%,41.8%,56.4%,11.0%,15.1%,26.0%,5.0,2022-07-01
275,Garrett Hill,DET,31.7%,70.2%,47.8%,81.3%,95.3%,89.9%,41.8%,64.3%,4.8%,16.9%,21.7%,5.0,2022-07-01
276,Kenley Jansen,ATL,31.7%,78.8%,53.6%,57.9%,87.8%,78.3%,46.4%,63.0%,11.6%,11.6%,23.2%,5.0,2022-07-01
277,Zack Greinke,KCR,31.6%,70.9%,47.4%,74.1%,86.1%,81.3%,40.2%,59.4%,8.9%,15.4%,24.3%,5.0,2022-07-01
278,Felix Bautista,BAL,31.6%,57.7%,42.6%,51.6%,65.9%,59.7%,42.0%,52.3%,17.2%,23.1%,40.2%,5.0,2022-07-01
279,Brandon Hughes,CHC,31.6%,62.9%,42.5%,48.6%,79.5%,64.5%,34.6%,53.7%,15.1%,16.8%,31.8%,5.0,2022-07-01
280,Kyle Gibson,PHI,31.6%,69.1%,47.7%,74.7%,89.2%,83.7%,42.9%,58.3%,7.8%,16.2%,24.0%,5.0,2022-07-01
281,Steve Cishek,WSN,31.6%,65.0%,44.1%,47.6%,84.6%,68.1%,37.6%,60.0%,14.1%,19.2%,33.3%,5.0,2022-07-01
282,Cory Abbott,WSN,31.6%,77.8%,46.4%,50.0%,78.6%,65.4%,32.1%,69.2%,16.1%,16.1%,32.1%,5.0,2022-07-01
283,Yusei Kikuchi,TOR,31.6%,57.8%,41.3%,66.7%,76.9%,72.0%,37.2%,65.6%,11.6%,16.5%,28.1%,5.0,2022-07-01
284,John King,TEX,31.6%,100.0%,48.0%,16.7%,83.3%,50.0%,24.0%,28.6%,24.0%,4.0%,28.0%,5.0,2022-07-01
285,Julio Urias,LAD,31.6%,66.7%,48.3%,74.6%,88.2%,83.6%,47.6%,69.7%,7.9%,19.1%,27.0%,5.0,2022-07-01
286,Beau Brieske,DET,31.5%,80.6%,52.4%,69.6%,88.5%,82.0%,42.5%,57.5%,9.4%,11.8%,21.3%,5.0,2022-07-01
287,Mitch Keller,PIT,31.5%,64.4%,45.8%,68.4%,88.8%,80.9%,43.6%,54.8%,8.8%,18.4%,27.2%,5.0,2022-07-01
288,Domingo German,NYY,31.5%,74.5%,47.1%,53.6%,92.1%,75.8%,36.4%,61.5%,11.4%,14.3%,25.7%,5.0,2022-07-01
289,Noah Syndergaard,LAA,31.4%,73.6%,48.3%,70.0%,89.7%,82.0%,40.0%,54.5%,8.6%,14.9%,23.5%,5.0,2022-07-01
290,Caleb Smith,ARI,31.4%,78.5%,51.6%,54.5%,80.6%,71.6%,42.9%,62.5%,14.7%,12.5%,27.2%,5.0,2022-07-01
291,Taylor Hearn,TEX,31.4%,66.1%,47.7%,59.1%,82.9%,74.6%,47.0%,63.6%,12.1%,15.2%,27.3%,5.0,2022-07-01
292,Paul Blackburn,OAK,31.4%,70.6%,46.3%,58.5%,89.4%,76.4%,38.0%,65.2%,10.9%,14.5%,25.4%,5.0,2022-07-01
293,Aaron Civale,CLE,31.4%,68.5%,47.1%,73.7%,86.9%,81.8%,42.4%,60.4%,8.6%,17.1%,25.7%,5.0,2022-07-01
294,Tim Mayza,TOR,31.4%,77.6%,48.1%,75.0%,84.4%,80.5%,36.3%,65.8%,9.4%,14.4%,23.8%,5.0,2022-07-01
295,Taylor Clarke,KCR,31.4%,77.9%,49.7%,62.2%,85.0%,76.3%,39.5%,61.4%,11.8%,9.7%,21.5%,5.0,2022-07-01
296,Anibal Sanchez,WSN,31.3%,65.1%,44.0%,68.4%,91.5%,81.3%,37.5%,50.0%,8.2%,14.1%,22.3%,5.0,2022-07-01
297,Rafael Montero,HOU,31.3%,60.0%,41.7%,69.4%,82.1%,76.0%,36.1%,59.1%,10.0%,21.1%,31.1%,5.0,2022-07-01
298,Bryse Wilson,PIT,31.3%,66.0%,47.6%,66.7%,94.7%,84.9%,46.9%,63.4%,7.2%,20.2%,27.4%,5.0,2022-07-01
299,Chris Bassitt,NYM,31.3%,68.1%,48.5%,58.5%,79.8%,72.5%,46.7%,65.0%,13.3%,18.2%,31.5%,5.0,2022-07-01
300,Stephen Nogosek,NYM,31.3%,62.5%,46.9%,60.0%,90.0%,80.0%,50.0%,75.0%,9.4%,21.9%,31.3%,5.0,2022-07-01
301,Calvin Faucher,TBR,31.3%,72.0%,56.1%,60.0%,100.0%,91.3%,61.0%,40.0%,4.9%,14.6%,19.5%,5.0,2022-07-01
302,Jhoulys Chacin,COL,31.2%,63.9%,42.9%,73.5%,79.5%,76.7%,35.9%,61.9%,10.0%,18.8%,28.8%,5.0,2022-07-01
303,Corey Knebel,PHI,31.2%,72.6%,49.4%,62.1%,79.2%,73.2%,44.0%,65.0%,13.3%,15.7%,28.9%,5.0,2022-07-01
304,Austin Voth,BAL,31.2%,74.1%,49.8%,63.8%,86.8%,78.7%,43.5%,53.8%,10.6%,12.8%,23.4%,5.0,2022-07-01
305,Eli Morgan,CLE,31.2%,72.6%,49.6%,75.0%,86.7%,82.6%,44.6%,69.7%,8.6%,17.3%,25.9%,5.0,2022-07-01
306,Sam Hentges,CLE,31.1%,64.1%,45.1%,72.7%,90.0%,83.1%,42.4%,64.0%,7.6%,19.0%,26.6%,5.0,2022-07-01
